Acat11G022660.1	EVM0000480.1
Acat11G020990.1	EVM0000481.1
Acat04G023400.1	EVM0000482.1
Acat12G006750.1	EVM0000483.1
Acat06G016960.1	EVM0000484.1
Acat13G004780.1	EVM0000485.1
Acat11G000460.1	EVM0000486.1
Acat04G027220.1	EVM0000487.1
Acat09G017530.1	EVM0000488.1
Acat02G026650.1	EVM0000489.1
Acat06G013980.1	EVM0000490.1
Acat11G016770.1	EVM0000491.1
Acat08G016580.1	EVM0000492.1
Acat03G021440.1	EVM0000493.1
Acat03G013890.1	EVM0000494.3
Acat11G001170.1	EVM0000495.1
Acat11G018500.1	EVM0000496.1
Acat02G023720.1	EVM0000497.1
Acat04G018660.1	EVM0000498.1
Acat02G010580.1	EVM0000499.1
Acat05G000850.1	EVM0000500.1
Acat11G001720.1	EVM0000501.1
Acat06G014790.1	EVM0000502.1
Acat04G005550.1	EVM0000503.1
Acat04G005570.1	EVM0000504.1
Acat03G000840.1	EVM0000505.1
Acat08G003130.1	EVM0000506.1
Acat03G007430.1	EVM0000507.1
Acat12G017370.1	EVM0000508.1
Acat13G012920.1	EVM0000509.1
Acat10G008520.1	EVM0000510.1
Acat13G012280.1	EVM0000511.1
Acat0830S000020.1	EVM0000512.1
Acat03G022450.1	EVM0000513.1
Acat04G013540.1	EVM0000514.1
Acat05G006440.1	EVM0000515.1
Acat05G002440.1	EVM0000516.1
Acat12G013800.1	EVM0000517.1
Acat02G007510.1	EVM0000518.1
Acat06G003230.1	EVM0000519.1
Acat1462S000060.1	EVM0000520.1
Acat02G016300.1	EVM0000521.1
Acat11G009420.1	EVM0000522.2
Acat08G003040.1	EVM0000523.1
Acat0337S000070.1	EVM0000524.1
Acat11G006760.1	EVM0000525.1
Acat01G021380.1	EVM0000526.1
Acat01G013060.1	EVM0000527.1
Acat09G006540.1	EVM0000528.1
Acat02G001340.1	EVM0000529.1
Acat06G000950.1	EVM0000530.1
Acat01G007120.1	EVM0000531.1
Acat05G006920.1	EVM0000532.1
Acat08G008070.1	EVM0000533.1
Acat02G031130.1	EVM0000534.1
Acat07G014380.1	EVM0000535.1
Acat0122S000040.1	EVM0000536.1
Acat02G006550.1	EVM0000537.1
Acat03G011690.1	EVM0000538.1
Acat02G033850.1	EVM0000539.1
Acat04G007710.1	EVM0000540.1
Acat08G014780.1	EVM0000541.1
Acat02G029520.1	EVM0000542.1
Acat1016S000050.1	EVM0000543.1
Acat03G031160.1	EVM0000544.1
Acat07G014940.1	EVM0000545.1
Acat09G010420.1	EVM0000546.1
Acat06G008430.1	EVM0000547.1
Acat03G034610.1	EVM0000548.1
Acat03G025280.1	EVM0000549.1
Acat12G008300.1	EVM0000550.1
Acat05G013630.1	EVM0000551.1
