Apal01G004530	A.palmatum_LG01_G00465
Apal01G004540	A.palmatum_LG01_G00466
Apal01G004550	A.palmatum_LG01_G00467
Apal01G004560	A.palmatum_LG01_G00468
Apal01G004570	A.palmatum_LG01_G00469
Apal01G004580	A.palmatum_LG01_G00470
Apal01G004590	A.palmatum_LG01_G00471
Apal01G004600	A.palmatum_LG01_G00472
Apal01G004610	A.palmatum_LG01_G00473
Apal01G004620	A.palmatum_LG01_G00474
Apal01G004630	A.palmatum_LG01_G00475
Apal01G004640	A.palmatum_LG01_G00476
Apal01G004650	A.palmatum_LG01_G00477
Apal01G004660	A.palmatum_LG01_G00478
Apal01G004670	A.palmatum_LG01_G00479
Apal01G004680	A.palmatum_LG01_G00480
Apal01G004690	A.palmatum_LG01_G00481
Apal01G004700	A.palmatum_LG01_G00482
Apal01G004710	A.palmatum_LG01_G00483
Apal01G004720	A.palmatum_LG01_G00484
Apal01G004730	A.palmatum_LG01_G00485
Apal01G004740	A.palmatum_LG01_G00486
Apal01G004750	A.palmatum_LG01_G00487
Apal01G004760	A.palmatum_LG01_G00488
Apal01G004770	A.palmatum_LG01_G00489
Apal01G004780	A.palmatum_LG01_G00490
Apal01G004790	A.palmatum_LG01_G00492
Apal01G004800	A.palmatum_LG01_G00493
Apal01G004810	A.palmatum_LG01_G00494
Apal01G004820	A.palmatum_LG01_G00495
Apal01G004830	A.palmatum_LG01_G00496
Apal01G004840	A.palmatum_LG01_G00497
Apal01G004850	A.palmatum_LG01_G00498
Apal01G004860	A.palmatum_LG01_G00499
Apal01G004870	A.palmatum_LG01_G00500
Apal01G004880	A.palmatum_LG01_G00501
Apal01G004890	A.palmatum_LG01_G00502
Apal01G004900	A.palmatum_LG01_G00503
Apal01G004910	A.palmatum_LG01_G00505
Apal01G004920	A.palmatum_LG01_G00506
Apal01G004930	A.palmatum_LG01_G00507
Apal01G004940	A.palmatum_LG01_G00508
Apal01G004950	A.palmatum_LG01_G00509
Apal01G004960	A.palmatum_LG01_G00510
Apal01G004970	A.palmatum_LG01_G00511
Apal01G004980	A.palmatum_LG01_G00512
Apal01G004990	A.palmatum_LG01_G00513
Apal01G005000	A.palmatum_LG01_G00514
Apal01G005010	A.palmatum_LG01_G00515
Apal01G005020	A.palmatum_LG01_G00516
Apal01G005030	A.palmatum_LG01_G00517
Apal01G005040	A.palmatum_LG01_G00518
Apal01G005050	A.palmatum_LG01_G00519
Apal01G005060	A.palmatum_LG01_G00520
Apal01G005070	A.palmatum_LG01_G00521
Apal01G005080	A.palmatum_LG01_G00523
Apal01G005090	A.palmatum_LG01_G00524
Apal01G005100	A.palmatum_LG01_G00526
Apal01G005110	A.palmatum_LG01_G00527
Apal01G005120	A.palmatum_LG01_G00528
Apal01G005130	A.palmatum_LG01_G00529
Apal01G005140	A.palmatum_LG01_G00530
Apal01G005150	A.palmatum_LG01_G00531
Apal01G005160	A.palmatum_LG01_G00532
Apal01G005170	A.palmatum_LG01_G00533
Apal01G005180	A.palmatum_LG01_G00534
Apal01G005190	A.palmatum_LG01_G00535
Apal01G005200	A.palmatum_LG01_G00536
Apal01G005210	A.palmatum_LG01_G00537
Apal01G005220	A.palmatum_LG01_G00538
Apal01G005230	A.palmatum_LG01_G00539
Apal01G005240	A.palmatum_LG01_G00540
Apal01G005250	A.palmatum_LG01_G00541
Apal01G005260	A.palmatum_LG01_G00542
Apal01G005270	A.palmatum_LG01_G00543
Apal01G005280	A.palmatum_LG01_G00544
Apal01G005290	A.palmatum_LG01_G00545
Apal01G005300	A.palmatum_LG01_G00546
Apal01G005310	A.palmatum_LG01_G00547
Apal01G005320	A.palmatum_LG01_G00548
Apal01G005330	A.palmatum_LG01_G00549
Apal01G005340	A.palmatum_LG01_G00550
Apal01G005350	A.palmatum_LG01_G00551
Apal01G005360	A.palmatum_LG01_G00552
Apal01G005370	A.palmatum_LG01_G00556
Apal01G005380	A.palmatum_LG01_G00558
Apal01G005390	A.palmatum_LG01_G00559
Apal01G005400	A.palmatum_LG01_G00560
Apal01G005410	A.palmatum_LG01_G00561
Apal01G005420	A.palmatum_LG01_G00562
Apal01G005430	A.palmatum_LG01_G00563
Apal01G005440	A.palmatum_LG01_G00564
Apal01G005450	A.palmatum_LG01_G00565
Apal01G005460	A.palmatum_LG01_G00566
Apal01G005470	A.palmatum_LG01_G00567
Apal01G005480	A.palmatum_LG01_G00568
Apal01G005490	A.palmatum_LG01_G00569
Apal01G005500	A.palmatum_LG01_G00570
Apal01G005510	A.palmatum_LG01_G00571
Apal01G005520	A.palmatum_LG01_G00572
Apal01G005530	A.palmatum_LG01_G00573
Apal01G005540	A.palmatum_LG01_G00574
Apal01G005550	A.palmatum_LG01_G00575
Apal01G005560	A.palmatum_LG01_G00576
Apal01G005570	A.palmatum_LG01_G00577
Apal01G005580	A.palmatum_LG01_G00578
Apal01G005590	A.palmatum_LG01_G00579
Apal01G005600	A.palmatum_LG01_G00580
Apal01G005610	A.palmatum_LG01_G00581
Apal01G005620	A.palmatum_LG01_G00582
Apal01G005630	A.palmatum_LG01_G00583
Apal01G005640	A.palmatum_LG01_G00584
Apal01G005650	A.palmatum_LG01_G00585
Apal01G005660	A.palmatum_LG01_G00587
Apal01G005670	A.palmatum_LG01_G00589
Apal01G005680	A.palmatum_LG01_G00590
Apal01G005690	A.palmatum_LG01_G00591
Apal01G005700	A.palmatum_LG01_G00592
Apal01G005710	A.palmatum_LG01_G00593
Apal01G005720	A.palmatum_LG01_G00594
Apal01G005730	A.palmatum_LG01_G00595
Apal01G005740	A.palmatum_LG01_G00596
Apal01G005750	A.palmatum_LG01_G00597
Apal01G005760	A.palmatum_LG01_G00598
Apal01G005770	A.palmatum_LG01_G00599
Apal01G005780	A.palmatum_LG01_G00600
Apal01G005790	A.palmatum_LG01_G00601
Apal01G005800	A.palmatum_LG01_G00602
Apal01G005810	A.palmatum_LG01_G00603
Apal01G005820	A.palmatum_LG01_G00604
Apal01G005830	A.palmatum_LG01_G00605
Apal01G005840	A.palmatum_LG01_G00606
Apal01G005850	A.palmatum_LG01_G00607
Apal01G005860	A.palmatum_LG01_G00608
Apal01G005870	A.palmatum_LG01_G00609
Apal01G005880	A.palmatum_LG01_G00610
Apal01G005890	A.palmatum_LG01_G00611
Apal01G005900	A.palmatum_LG01_G00612
Apal01G005910	A.palmatum_LG01_G00613
Apal01G005920	A.palmatum_LG01_G00614
Apal01G005930	A.palmatum_LG01_G00615
Apal01G005940	A.palmatum_LG01_G00616
Apal01G005950	A.palmatum_LG01_G00617
Apal01G005960	A.palmatum_LG01_G00618
Apal01G005970	A.palmatum_LG01_G00619
